,Entity,Year,Records Lost,Organisation,Method of Leak,Data Sensitivity
137,"Crescent Health Inc., Walgreens",2013,100000,healthcare,lost / stolen device,E-mail Password or Health Records
138,Florida Courts,2013,100000,government,lost / stolen device,SSN/Personal Details
139,Florida Department of Juvenile Justice,2013,100000,government,lost / stolen device,SSN/Personal Details
140,Kirkwood Community College,2013,125000,academic,hacked,SSN/Personal Details
141,Citigroup,2013,150000,financial,accidentally published,SSN/Personal Details
142,Indiana University,2013,146000,academic,poor security,SSN/Personal Details
143,Washington State court system,2013,160000,government,hacked,SSN/Personal Details
144,TerraCom & YourTel,2013,170000,telecoms,accidentally published,SSN/Personal Details
145,Nintendo,2013,240000,gaming,hacked,SSN/Personal Details
146,Twitter,2013,250000,web,hacked ,E-mail Address or Online Information
147,Apple,2013,275000,tech,hacked,E-mail Address or Online Information
149,Scribd,2013,500000,web,hacked,E-mail Address or Online Information
150,Drupal,2013,1000000,web,hacked,E-mail Address or Online Information
151,NMBS,2013,1460000,transport,accidentally published,SSN/Personal Details
152,National Security Agency,2013,1500000,government,inside job,Full Bank account Details
153,Kissinger Cables,2013,1700000,government,inside job,Credit Card Information
154,Ubuntu,2013,2000000,tech,hacked,Credit Card Information
155,Vodafone,2013,2000000,telecoms,inside job,Credit Card Information
156,ssndob.ms,2013,4000000,web,hacked,SSN/Personal Details
157,Advocate Medical Group,2013,4000000,healthcare,lost / stolen device,SSN/Personal Details
158,SnapChat,2013,4700000,"web, tech",hacked,SSN/Personal Details
159,Facebook,2013,6000000,web,accidentally published,E-mail Address or Online Information
160,Yahoo Japan,2013,22000000,"tech, web",hacked,E-mail Address or Online Information
161,Adobe,2013,36000000,tech,hacked,Full Bank account Details
162,Evernote,2013,50000000,web,hacked,E-mail Address or Online Information
163,Living Social,2013,50000000,web,hacked,E-mail Address or Online Information
165,Yahoo,2013,1000000000,web,hacked,SSN/Personal Details
166,Tumblr,2013,65000000,web,hacked,E-mail Address or Online Information
167,New York Taxis,2014,52000,transport,poor security,E-mail Address or Online Information
168,NASDAQ,2014,500000,financial,hacked,E-mail Address or Online Information
169,Dominios Pizzas (France),2014,600000,web,hacked,E-mail Address or Online Information
170,Japan Airlines,2014,750000,transport,hacked,SSN/Personal Details
171,Mozilla,2014,76000,web,poor security,SSN/Personal Details
172,MacRumours.com,2014,860000,web,hacked,E-mail Address or Online Information
173,"D&B, Altegrity",2014,1000000,tech,hacked,Credit Card Information
174,Neiman Marcus,2014,1100000,retail,hacked,SSN/Personal Details
175,Staples,2014,1160000,retail,hacked,Credit Card Information
176,European Central Bank,2014,4000000,financial,hacked,E-mail Address or Online Information
177,UPS,2014,4000000,retail,hacked,Credit Card Information
178,Community Health Systems,2014,4500000,healthcare,hacked,SSN/Personal Details
179,"""Gmail""",2014,5000000,web,hacked,E-mail Address or Online Information
180,Sony Pictures,2014,10000000,media,hacked,SSN/Personal Details
181,Twitch.tv,2014,10000000,healthcare,hacked,E-mail Address or Online Information
182,Korea Credit Bureau,2014,20000000,financial,inside job,Full Bank account Details
183,AOL,2014,2400000,web,hacked,E-mail Address or Online Information
184,Home Depot,2014,56000000,retail,hacked,Credit Card Information
